[2025-04-02 03:05:01] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-04-02 03:05:01] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, create_zip_archive, wrapup
[2025-04-02 03:05:01] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-04-02 03:05:02] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-04-02 03:05:02] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-04-02 03:05:02] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-04-02 03:05:02] [class-ss-setup-task.php:33] Creating archive directory: E:\xampp\htdocs\wordpress/wp-content/uploads\simply-static\temp-files/simply-static-1-1743563101\
[2025-04-02 03:05:02] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/wordpress/
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.min.css
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.min.css
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.css
[2025-04-02 03:05:02] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css
